Month,Day,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
1,1,78,61.8,51,50,40.3,38,63,47.3,25,15,9.9,6,28,28,27.9,0
1,2,76,63.4,52,60,47.1,24,87,60,29,28,14.1,5,28,27.9,27.8,0
1,3,60,52.7,45,30,26.9,25,52,37.8,26,17,10.1,5,28.1,28,28,0
1,4,64,51.9,41,30,25.5,19,60,38.6,19,21,11,3,28.3,28.2,28.1,0
1,5,63,46.5,30,31,27.3,24,79,51.3,24,9,4.3,0,28.4,28.3,28.3,0
1,6,77,61.8,46,51,43.2,30,65,51.2,37,28,14.8,7,28.3,28.2,28.1,0
1,7,59,49.8,42,48,31.7,26,67,51,34,18,8,0,28.4,28.3,28.2,0
1,8,63,48.5,34,32,30.3,28,79,52.2,28,12,4.5,0,28.5,28.4,28.3,0
1,9,77,59.3,50,37,33.5,30,52,40,19,15,9.9,5,28.3,28.2,28.2,0
1,10,83,65.7,53,46,33.6,26,66,35.4,13,21,11.6,5,28.2,28.1,28,0
1,11,83,66.6,49,38,24.1,13,43,22.3,9,29,14.3,5,28.1,28,27.9,0
1,12,58,48.4,35,31,26,21,65,43.6,26,24,15.7,0,28.5,28.4,28.1,0
1,13,64,45.8,31,26,23.8,21,69,45.5,23,9,3.5,0,28.6,28.5,28.4,0
1,14,67,54.8,43,26,24.2,22,47,31.8,21,26,17.8,8,28.4,28.2,28.1,0
1,15,67,59.2,52,46,38.6,24,62,47.2,31,23,18,9,28,27.9,27.8,0
1,16,74,63.1,54,45,39,34,62,43.4,23,23,11.9,6,28,27.9,27.8,0
1,17,72,60.2,49,40,37.9,35,64,44.8,30,9,5.9,0,28,27.9,27.8,0
1,18,65,58.2,54,43,25.4,14,62,31.5,15,28,15,0,28.1,27.9,27.8,0
1,19,59,48.8,35,25,22.8,20,55,37.1,25,15,6,0,28.3,28.2,28.1,0
1,20,63,51.2,44,29,26.1,24,51,39.3,23,23,14.9,8,28.3,28.2,28.1,0
1,21,62,51.4,41,38,26.6,16,68,42.1,17,23,13.7,3,28.1,28.1,28.1,0
